Decks,Word,Definition,Example,Article,Plural,Past Tense,Future Tense,Past Participle,Exercise Type,Question,Correct Answer,Options,Explanation
Dutch Basics,water,water,Ik drink veel water.,het,waters,,,,,,,,
Chapter 2 > 2.3,watten,cotton wool,,,,,,,,,,,
Chapter 1 > 1.1,weer,weather,,,,,,,,,,,
Chapter 3 > 3.5,weggelopen,Run away,,,,,,,,,,,
Chapter 1 > 1.1,weigeren,to refuse,,,,,,,,,,,
Chapter 4 > 4.4,werkzaamheden,activities/work,,,,,,,,,,,
Chapter 2 > 2.1,Wisselt,To change To alternate,,,,,,,,,,,
Chapter 1 > 1.2,woestijn,desert,,,,,,,,,,,
Chapter 3 > 3.7,zaag,Saw,,,,,,,,,,,
Chapter 1 > 1.5,zaaien,sow,,,,,,,,,,,
Chapter 1 > 1.5,zagen,saws,,,,,,,,,,,
Chapter 4 > 4.1,Zakgeld,pocket money,,,,,,,,,,,
Chapter 2 > 2.6,zakken,Go flat,,,,,,,,,,,
Chapter 2 > 2.6,Zakt,Sinks,,,,,,,,,,,
Chapter 3 > 3.5,zekerheid,Certainty,,,,,,,,,,,
Chapter 2 > 2.2,zenuwachtig,nervous/anxious,,,,,,,,,,,
Chapter 1 > 1.7,zich,himself,,,,,,,,,,,
Chapter 4 > 4.1,zich,oneself,,,,,,,,,,,
Chapter 3 > 3.1,Zijkant,Side,,,,,,,,,,,
Dutch Basics,zijn,to be,Ik ben student.,,,was,zal zijn,geweest,,,,,
Chapter 4 > 4.5,zinloos,pointless,,,,,,,,,,,
Chapter 5 > 5.2,zo'n,such a,,,,,,,,,,,
Chapter 3 > 3.1,Zomaar,Out of the blue Suddenly (for no reason),,,,,,,,,,,
Chapter 2 > 2.5,Zorgen,Care,,,,,,,,,,,
Chapter 5 > 5.3,zowel,both,,,,,,,,,,,
Chapter 3 > 3.6,zweten,Sweat,,,,,,,,,,,
